Dates,ID
1/22/2020,1
1/23/2020,2
1/24/2020,3
1/25/2020,4
1/26/2020,5
1/27/2020,6
1/28/2020,7
1/29/2020,8
1/30/2020,9
1/31/2020,10
2/1/2020,11
2/2/2020,12
2/3/2020,13
2/4/2020,14
2/5/2020,15
2/6/2020,16
2/7/2020,17
2/8/2020,18
2/9/2020,19
2/10/2020,20
2/11/2020,21
2/12/2020,22
2/13/2020,23
2/14/2020,24
2/15/2020,25
2/16/2020,26
2/17/2020,27
2/18/2020,28
2/19/2020,29
2/20/2020,30
2/21/2020,31
2/22/2020,32
2/23/2020,33
2/24/2020,34
2/25/2020,35
2/26/2020,36
2/27/2020,37
2/28/2020,38
2/29/2020,39
3/1/2020,40
3/2/2020,41
3/3/2020,42
3/4/2020,43
3/5/2020,44
3/6/2020,45
3/7/2020,46
3/8/2020,47
3/9/2020,48
3/10/2020,49
3/11/2020,50
3/12/2020,51
3/13/2020,52
3/14/2020,53
3/15/2020,54
3/16/2020,55
3/17/2020,56
3/18/2020,57
3/19/2020,58
3/20/2020,59
3/21/2020,60
1/22/2020,61
1/23/2020,62
1/24/2020,63
1/25/2020,64
1/26/2020,65
1/27/2020,66
1/28/2020,67
1/29/2020,68
1/30/2020,69
1/31/2020,70
2/1/2020,71
2/2/2020,72
2/3/2020,73
2/4/2020,74
2/5/2020,75
2/6/2020,76
2/7/2020,77
2/8/2020,78
2/9/2020,79
2/10/2020,80
2/11/2020,81
2/12/2020,82
2/13/2020,83
2/14/2020,84
2/15/2020,85
2/16/2020,86
2/17/2020,87
2/18/2020,88
2/19/2020,89
2/20/2020,90
2/21/2020,91
2/22/2020,92
2/23/2020,93
2/24/2020,94
2/25/2020,95
2/26/2020,96
2/27/2020,97
2/28/2020,98
2/29/2020,99
3/1/2020,100
3/2/2020,101
3/3/2020,102
3/4/2020,103
3/5/2020,104
3/6/2020,105
3/7/2020,106
3/8/2020,107
3/9/2020,108
3/10/2020,109
3/11/2020,110
